Hans	Hans	0		H	sg n
Tillisson	####				
	#Tillisson	0		H	sg n
and	and	0		S	sg n
	£and	0		V	s
kirjaliku	kirjalik	0		A	sg g
kaebtuse	####				
	#kaebus	0		S	sg g
sisse	siss	e		S	pl p
     	@sisse	0		D	
     	sisse	0		K	
nii	nii	0		D	
kui	kui	0		D	
   	@kui	0		J	
jarges	####				
	#järg	0		S	sg in
saisab	####				
	#seis	b		V	b
:	:			Z	
Auustatud	####				
	#austa	tud		V	tud
Aru	aru	0		S	sg g
   	aru	0		S	sg n
   	aru	0		S	sg p
	£Aru	0		H	sg g
kogukonna	kogukond	0		S	sg g
kohtule	kohus	le		S	sg all
,	,			Z	
Mina	@mina	0		P	sg n
    	mina	0		S	sg g
    	mina	0		S	sg n
    	mina	0		S	sg p
alan	####				
	#all	0		D	
nimetatud	@nimeta	tud		V	tud
         	nimetatu	d		S	pl n
         	nimetatud	0		A	
         	nimetatud	0		A	sg n
         	nimetatud	d		A	pl n
palun	palu	n		V	n
endise	endine	0		A	sg g
kaebtuse	####				
	#kaebus	0		S	sg g
täiendamiseks	täiendamine	ks		S	sg tr
sest	@see	st		P	sg el
    	sest	0		J	
2	2	0		N	?
Novemb	####				
	#Novemb	0		Y	
.	.			Z	
1889	1889	0		N	?
protokolli	@protokoll	0		S	adt
          	protokoll	0		S	sg g
          	protokolli	0		V	o
          	protokoll	0		S	sg p
kirjutada	kirjuta	da		V	da
nii	nii	0		D	
kui	kui	0		D	
   	@kui	0		J	
järges	####				
	#järg	0		S	sg in
saisab	####				
	#seis	b		V	b
:	:			Z	
Et	et	0		J	
küll	@küll	0		D	
    	küll	0		S	sg n
Suure	suur	0		A	sg g
Kongutas	Konguta	s		H	sg in
oleva	olev	0		A	sg g
     	olev	0		S	sg g
	£ole	v		V	v sg g
Lombi	lomp	0		S	sg g
	£Lombi	0		H	sg g
maja	@maja	0		S	sg g
    	maja	0		S	sg n
    	maja	0		S	sg p
üle	üle	0		D	
   	@üle	0		K	
proklamm	####				
	¤
Karl	Karl	0		H	sg n
Puchzichti	####				
	#Puchzicht	0		V	sg g
pääle	####				
	#peale	0		K	
ärä	####				
	#ära	0		D	
olna	####				
	#ole	na		V	vat
käinud	@käi	nud		V	nud
      	käi=nud	0		A	
      	käi=nud	0		A	sg n
      	käi=nud	d		A	pl n
      	käinu	d		S	pl n
,	,			Z	
sääl	####				
	#seal	0		D	
toll	toll	0		S	sg n
	£too	l		P	sg ad
ajal	@aeg	l		S	sg ad
    	ajal	0		K	
surnud	surnu	d		S	pl n
      	surnud	0		A	
      	surnud	0		A	sg n
      	surnud	d		A	pl n
      	@sure	nud		V	nud
Paulsoni	####				
	#Paulson	0		H	sg g
perandajad	####				
	#päranda=ja	d		S	pl n
kiik	kiik	0		S	sg n
	£kõik	0		P	pl n
ala	ala	0		S	sg g
   	ala	0		S	sg n
   	ala	0		S	sg p
	#ala	0		D	
ealised	ealine	d		A	pl n
olli	####				
	#ole	i		V	sid
,	,			Z	
kellest	kes	st		P	pl el
       	@kes	st		P	sg el
mitte	mitte	0		D	
nõudjad	nõud=ja	d		S	pl n
	£nõud=ja	d		S	sg p
ei	ei	0		D	
  	@ei	0		V	neg
ollu	####				
	#ole	nu		V	nud
ning	ning	0		J	
see	see	0		P	sg n
Lombi	lomp	0		S	sg g
	£Lombi	0		H	sg g
maja	maja	0		S	sg g
    	@maja	0		S	sg n
    	maja	0		S	sg p
kadunud	@kadu	nud		V	nud
       	kadunu	d		S	pl n
       	kadunud	0		A	
       	kadunud	0		A	sg n
       	kadunud	d		A	pl n
Paulsoni	####				
	#Paulson	0		H	sg g
rahaga	raha	ga		S	sg kom
täiste	täine	te		A	pl g
	£täiesti	0		D	
osteted	####				
	#ost	tud		V	tud
on	@ole	0		V	b
  	ole	0		V	vad
,	,			Z	
kelle	kes	0		P	pl g
     	@kes	0		P	sg g
eest	eest	0		D	
    	@eest	0		K	
    	esi	st		S	sg el
1200	1200	0		N	?
