Koos	@koos	koos	0		D	
    	koos	koos	0		K	
    	koos	koos	0		S	sg n
    	kubu	kubu	s		S	sg in
ollid	####	####				
     	#olid	ole	id		V	sid
Tallitaja	####	####				
         	#talitaja	talitaja	0		S	sg n
:	:	:			Z	
N. Mähle	####	####				
        	#N_._Mähle	N_._Mähle	0		H	sg n
,	,	,			Z	
abbimehhed	####	####				
          	#abimehed	abi_mees	d		S	pl n
G. Norwit	####	####				
         	#G_._Norwit	G_._Norwit	0		H	sg n
ja	ja	ja	0		J	
H. Pissa	####	####				
        	#H_._Pissa	H_._Pissa	0		H	sg n
seatud	sea=tu	sea=tu	d		S	pl n
      	@seatud	sead	tud		V	tud
      	seatud	seatud	0		A	
      	seatud	seatud	0		A	sg n
      	seatud	seatud	d		A	pl n
kohtopäwa	####	####				
         	#kohtupäeva	kohtu_päev	0		S	sg p
piddamas	####	####				
        	#pidamas	pida	mas		V	mas
.	.	.			Z	
Thomas	Thomas	Thomas	0		H	sg g
      	@Thomas	Thomas	0		H	sg n
Raja	Raja	Raja	0		H	sg g
    	@Raja	Raja	0		H	sg n
    	rada	rada	0		S	sg g
    	raja	raja	0		S	sg g
    	raja	raja	0		S	sg n
    	raja	raja	0		S	sg p
    	raja	raja	0		V	o
astus	astus	astu	s		V	s
ette	esi	esi	tte		S	adt
    	@ette	ette	0		D	
    	ette	ette	0		K	
ja	ja	ja	0		J	
kaebas	kaebas	kaeba	s		V	s
,	,	,			Z	
et	et	et	0		J	
Mihklipäwast	####	####				
            	#mihklipäevast	mihkli_päev	st		S	sg el
,	,	,			Z	
kus	kus	kus	0		D	
nende	see	see	de		P	pl g
     	@nende	tema	de		P	pl g
lomad	####	####				
     	#loomad	loom	D		S	pl n
pöllal	####	####				
      	#põllul	põld	l		S	sg ad
nende	see	see	de		P	pl g
     	@nende	tema	de		P	pl g
renditükkide	renditükkide	rendi_tükk	de		S	pl g
peal	peal	peal	0		D	
    	@peal	peal	0		K	
    	pea	pea	l		S	sg ad
sömas	####	####				
     	#söömas	söö	mas		V	mas
käiwad	@käivad	käi	vad		V	vad
      	käiv	käiv	d		A	pl n
,	,	,			Z	
on	@on	ole	0		V	b
  	ole	ole	0		V	vad
seal	@seal	seal	0		D	
    	siga	siga	l		A	sg ad
    	siga	siga	l		S	sg ad
ni	####	####				
  	#nii	nii	0		D	
paljo	####	####				
     	#palju	palju	0		D	
rido	####	####				
    	#riidu	riid	0		S	sg p
ja	ja	ja	0		J	
tülli	tüli	tüli	0		S	adt
     	tüll	tüll	0		S	adt
     	tüll	tüll	0		S	sg g
     	tüll	tüll	0		S	sg p
     	tülli	tülli	0		D	
     	£tüli	tüli	0		S	sg p
iggapääw	####	####				
        	#igapäev	iga_päev	0		S	sg n
olnud	ol=nud	ol=nud	0		A	
     	ol=nud	ol=nud	0		A	sg n
     	ol=nud	ol=nud	d		A	pl n
     	@olnud	ole	nud		V	nud
     	olnu	olnu	d		S	pl n
,	,	,			Z	
ja	ja	ja	0		J	
lehmad	lehmad	lehm	d		S	pl n
ühhe	####	####				
    	ühe	ühe	0		S	sg n
    	ühe	üks	0		N	sg g
    	#ühe	üks	0		P	sg g
tükki	tükk	tükk	0		S	adt
     	tükk	tükk	0		S	sg p
     	tükki	tükki	0		D	
     	£tüki	tükk	0		S	sg g
pealt	pealt	pealt	0		D	
     	@pealt	pealt	0		K	
     	pea	pea	lt		S	sg abl
teise	teine	teine	0		O	adt
     	teine	teine	0		O	sg g
     	@teise	teine	0		P	adt
     	teine	teine	0		P	sg g
kihhutud	####	####				
        	#kihutatud	kihuta	tud		V	tud
sanud	####	####				
     	#saanud	saa	nud		V	nud
,	,	,			Z	
et	et	et	0		J	
sedda	####	####				
     	#seda	see	da		P	sg p
ennam	####	####				
     	#enam	enam	0		D	
kannatada	kannatada	kannata	da		V	da
ei	ei	ei	0		D	
  	@ei	ei	0		V	neg
wöinud	####	####				
      	#võinud	või	nud		V	nud
.	.	.			Z	
Sepärrast	####	####				
         	#seepärast	see_pärast	0		D	
olla	olla	ole	a		V	da
temma	####	####				
     	tema	tema	0		P	sg g
     	#tema	tema	0		P	sg n
,	,	,			Z	
Jaen	####	####				
    	#Jaan	Jaen	0		H	sg n
Kanker	####	####				
      	#Kanker	Kanker	0		H	sg n
ja	ja	ja	0		J	
weel	@veel	veel	0		D	
    	vesi	vesi	l		S	sg ad
    	veel	vesi	l		S	sg ad
mönned	####	####				
      	#mõned	mõni	d		P	pl n
teised	teine	teine	d		O	pl n
      	@teised	teine	d		P	pl n
mehhed	####	####				
      	#mehed	mees	d		S	pl n
kelle	kes	kes	0		P	pl g
     	@kes	kes	0		P	sg g
renditükkid	####	####				
           	#renditükid	rendi_tükid	0		S	pl n
jöe	####	####				
   	#jõe	jõgi	0		S	sg g
pool	@pool	pool	0		K	
    	pool	pool	0		N	sg n
    	pool	pool	0		S	sg n
pöllu	####	####				
     	#põllu	põld	0		S	sg g
teed	tee	tee	d		S	pl n
    	@teed	tee	d		S	sg p
    	tege	tege	d		V	d
seiswad	seisev	seisev	d		A	pl n
       	£seisavad	seis	vad		V	vad
,	,	,			Z	
paar	@paar	paar	0		N	sg n
    	paar	paar	0		S	sg n
näddalt	####	####				
       	#nädalat	nädal	t		S	sg p
pärrast	####	####				
       	pärast	pära	st		S	sg el
       	pärast	pärane	t		A	sg p
       	pärast	pärast	0		D	
       	#pärast	pärast	0		K	
Mihk	####	####				
    	#Mihk	Mihk	0		Y	?
.	.	.			Z	
päwa	####	####				
    	#päeva	päev	0		S	sg p
nöuks	####	####				
     	#nõuks	nõu	ks		S	sg tr
wötnud	####	####				
      	#võtnud	võt	nud		V	nud
,	,	,			Z	
ja	ja	ja	0		J	
karja	kari	kari	0		S	adt
     	@karja	kari	0		S	sg g
     	kari	kari	0		S	sg p
poisile	poisile	poiss	le		S	sg all
ka	ka	ka	0		D	
öölnud	####	####				
      	#öelnud	ütle	nud		V	nud
,	,	,			Z	
et	et	et	0		J	
