Einmanni	####	####				
        	#Einmanni	Einmann	0		H	sg g
koggokonna	####	####				
          	#kogukonna	kogukond	0		S	sg g
kohhus	####	####				
      	kohus	kohu	s		V	s
      	#kohus	kohus	0		S	sg n
.	.	.			Z	
Kohtu	kohtu	kohtu	0		V	o
     	@kohtu	kohus	0		S	sg g
ette	esi	esi	tte		S	adt
    	ette	ette	0		D	
    	@ette	ette	0		K	
kutsuti	kutsuti	kutsu	ti		V	ti
endine	endine	endine	0		A	sg n
Peetri	Peeter	Peeter	0		H	sg g
      	@Peetri	Peetri	0		H	sg g
      	Peetri	Peetri	0		H	sg n
kohha	####	####				
     	#koha	koht	0		S	sg g
perremees	perre_mees	perre_mees	0		S	sg n
         	@peremees	pere_mees	0		S	sg n
Karel	####	####				
     	#Karel	Karel	0		H	sg n
Ross	####	####				
    	#Ross	Ross	0		H	sg n
omma	####	####				
    	#oma	oma	0		P	sg g
    	on	ole	0		V	vad
Maggasini	####	####				
         	#magasini	magasin	0		S	sg g
wölla	####	####				
     	#võla	võlg	0		S	sg g
pärrast	####	####				
       	pärast	pära	st		S	sg el
       	pärast	pärane	t		A	sg p
       	pärast	pärast	0		D	
       	#pärast	pärast	0		K	
,	,	,			Z	
se	####	####				
  	#see	see	0		P	sg n
wölg	####	####				
    	#võlg	võlg	0		S	sg n
,	,	,			Z	
39	39	39	0		N	?
Tsetwerik	####	####				
         	#setverik	setverik	0		S	sg n
rukki	rukis	rukis	0		S	adt
     	rukis	rukis	0		S	sg g
     	£rukist	rukis	0		S	sg p
ja	ja	ja	0		J	
odrad	odrad	oder	d		S	pl n
48	48	48	0		N	?
Tsetwek	####	####				
       	#setverik	setverik	0		S	sg n
,	,	,			Z	
ja	ja	ja	0		J	
48	48	48	0		N	?
Tsetwerik	####	####				
         	#setverik	setverik	0		S	sg n
Kaerad	kaerad	kaer	d		S	pl n
,	,	,			Z	
ja	ja	ja	0		J	
Karel	####	####				
     	#Karel	Karel	0		H	sg n
Ross	####	####				
    	#Ross	Ross	0		H	sg n
tunnistas	tunnistas	tunnista	s		V	s
omma	####	####				
    	#oma	oma	0		P	sg g
    	on	ole	0		V	vad
suga	suga	suga	0		S	sg n
    	suga	suga	0		S	sg p
    	£suuga	suu	ga		S	sg kom
Kohtu	kohtu	kohtu	0		V	o
     	@kohtu	kohus	0		S	sg g
ees	ees	ees	0		D	
   	@ees	ees	0		K	
   	esi	esi	s		S	sg in
et	et	et	0		J	
,	,	,			Z	
se	####	####				
  	#see	see	0		P	sg n
temma	####	####				
     	#tema	tema	0		P	sg g
     	tema	tema	0		P	sg n
wölg	####	####				
    	#võlg	võlg	0		S	sg n
on	@on	ole	0		V	b
  	ole	ole	0		V	vad
,	,	,			Z	
ja	ja	ja	0		J	
lubbas	####	####				
      	#lubas	luba	s		V	s
sedda	####	####				
     	#seda	see	da		P	sg p
jouda	####	####				
     	#jõudu	jõud	0		S	sg p
möda	####	####				
    	#mööda	mööda	0		K	
ärra	####	####				
    	#ära	ära	0		D	
    	ära	ära	0		V	neg o
maksta	@maksta	maks	ta		V	da
      	maks	maks	ta		V	ta
,	,	,			Z	
agga	####	####				
    	#aga	aga	0		J	
mitte	mitte	mitte	0		D	
ühhe	####	####				
    	ühe	ühe	0		S	sg n
    	#ühe	üks	0		N	sg g
    	ühe	üks	0		P	sg g
käraga	kära	kära	ga		S	sg kom
      	£korraga	kord	ga		S	sg kom
ei	ei	ei	0		D	
  	@ei	ei	0		V	neg
joua	####	####				
    	#jõua	jõud	0		V	o
temma	####	####				
     	tema	tema	0		P	sg g
     	#tema	tema	0		P	sg n
mitte	mitte	mitte	0		D	
.	.	.			Z	
Kohtu	kohtu	kohtu	0		V	o
     	@kohtu	kohus	0		S	sg g
ette	esi	esi	tte		S	adt
    	ette	ette	0		D	
    	@ette	ette	0		K	
kutsuti	kutsuti	kutsu	ti		V	ti
endin	####	####				
     	#endine	endine	0		A	sg n
Mikko	####	####				
     	#Miku	Mikko	0		H	sg g
perremees	perre_mees	perre_mees	0		S	sg n
         	@peremees	pere_mees	0		S	sg n
Hans	Hans	Hans	0		H	sg n
Lanning	####	####				
       	#Lanning	Lanning	0		H	sg n
omma	####	####				
    	#oma	oma	0		P	sg g
    	on	ole	0		V	vad
Maggasin	####	####				
        	#magasin	magasin	0		S	sg n
wölla	####	####				
     	#võla	võlg	0		S	sg g
pärrast	####	####				
       	pärast	pära	st		S	sg el
       	pärast	pärane	t		A	sg p
       	pärast	pärast	0		D	
       	#pärast	pärast	0		K	
,	,	,			Z	
se	####	####				
  	#see	see	0		P	sg n
wölla	####	####				
     	#võla	võlg	0		S	sg g
summa	summ	summ	0		S	adt
     	summ	summ	0		S	sg g
     	summ	summ	0		S	sg p
     	summa	summa	0		S	sg g
     	@summa	summa	0		S	sg n
on	@on	ole	0		V	b
  	ole	ole	0		V	vad
Rukkid	rukkid	rukis	d		S	pl n
171	171	171	0		N	?
Tsetwerik	####	####				
         	#setverik	setverik	0		S	sg n
Odrad	odrad	oder	d		S	pl n
193	193	193	0		N	?
Tsetwerik	####	####				
         	#setverik	setverik	0		S	sg n
Kaerad	kaerad	kaer	d		S	pl n
139	139	139	0		N	?
1	1	1	0		N	?
/	/	/			Z	
2	2	2	0		N	?
Tstwerik	####	####				
        	#setverik	setverik	0		S	sg n
.	.	.			Z	
Ja	ja	ja	0		J	
temma	####	####				
     	tema	tema	0		P	sg g
     	#tema	tema	0		P	sg n
tunnistab	tunnistab	tunnista	b		V	b
,	,	,			Z	
et	et	et	0		J	
se	####	####				
  	#see	see	0		P	sg n
mitte	mitte	mitte	0		D	
temma	####	####				
     	#tema	tema	0		P	sg g
     	tema	tema	0		P	sg n
wölg	####	####				
    	#võlg	võlg	0		S	sg n
ei	ei	ei	0		D	
  	@ei	ei	0		V	neg
olle	####	####				
    	#ole	ole	0		V	o
wait	vait	vait	0		D	
    	vait	vait	0		I	
    	£vaid	vaid	0		J	
tema	@tema	tema	0		P	sg g
    	tema	tema	0		P	sg n
issa	####	####				
    	#isa	isa	0		S	sg g
,	,	,			Z	
wölg	####	####				
    	#võlg	võlg	0		S	sg n
,	,	,			Z	
agga	####	####				
    	#aga	aga	0		J	
kohhus	####	####				
      	kohus	kohu	s		V	s
      	#kohus	kohus	0		S	sg n
moistis	####	####				
       	#mõistis	mõist	is		V	s
et	et	et	0		J	
temma	####	####				
     	tema	tema	0		P	sg g
     	#tema	tema	0		P	sg n
peab	peab	pida	b		V	b
maksma	maksma	maks	ma		V	ma
,	,	,			Z	
et	et	et	0		J	
ta	tema	tema	0		P	sg g
  	@ta	tema	0		P	sg n
issa	####	####				
    	#isa	isa	0		S	sg g
maea	####	####				
    	#maja	maja	0		S	sg g
köige	####	####				
     	#kõige	kõik	0		P	sg g
wöllaga	####	####				
       	#võlaga	võlg	ga		S	sg kom
omma	####	####				
    	#oma	oma	0		P	sg g
    	on	ole	0		V	vad
kätte	käsi	käsi	tte		S	adt
     	@kätte	kätte	0		K	
wöttis	####	####				
      	#võttis	võt	is		V	s
.	.	.			Z	
Kohtu	kohtu	kohtu	0		V	o
     	@kohtu	kohus	0		S	sg g
ette	esi	esi	tte		S	adt
    	ette	ette	0		D	
    	@ette	ette	0		K	
kutsuti	kutsuti	kutsu	ti		V	ti
Mikku	Mikk	Mikk	0		H	adt
     	Mikk	Mikk	0		H	sg p
     	£Miku	Mikku	0		H	sg g
Hanso	####	####				
     	#Hansu	Hanso	0		H	sg g
endine	endine	endine	0		A	sg n
perremees	perre_mees	perre_mees	0		S	sg n
         	@peremees	pere_mees	0		S	sg n
Karel	####	####				
     	#Karel	Karel	0		H	sg n
Tiik	tiik	tiik	0		S	sg n
